pitches,player_id,player_name,game_date,game_pk,total_pitches,pitch_percent,ba,iso,babip,slg,woba,xwoba,xba,hits,abs,launch_speed,launch_angle,spin_rate,velocity,effective_speed,whiffs,swings,takes,eff_min_vel,release_extension,pos3_int_start_distance,pos4_int_start_distance,pos5_int_start_distance,pos6_int_start_distance,pos7_int_start_distance,pos8_int_start_distance,pos9_int_start_distance,pitcher_run_exp,run_exp,bat_speed,swing_length,pa,bip,singles,doubles,triples,hrs,so,k_percent,bb,bb_percent,api_break_z_with_gravity,api_break_z_induced,api_break_x_arm,api_break_x_batter_in,hyper_speed,bbdist,hardhit_percent,barrels_per_bbe_percent,barrels_per_pa_percent,release_pos_z,release_pos_x,plate_x,plate_z,obp,barrels_total,batter_run_value_per_100,xobp,xslg,pitcher_run_value_per_100,xbadiff,xobpdiff,xslgdiff,wobadiff,swing_miss_percent,arm_angle
30,657746,"Ryan, Joe",2025-05-16,777898,99,30.3,0.25,0.0,0.333,0.25,0.318,0.334,0.236,1,4,95.7,20.7,2346.0,91.4,92.16,2,16,14,0.7999999999999972,6.96,108,147,111,150,292,319,290,0.236,-0.236,73.0,7.2,5,3,1,0,0,0,1,20.0,1,20,1.99267,0.78967,0.59167,-0.67033,89.7,179,33.33333333333333,0.0,0.0,4.63,-2.4,0.53,2.48,0.4,0,-0.786666667,0.389,0.33,0.786666667,0.014,0.011,-0.08,-0.016,12.5,
27,690990,"Horton, Cade",2025-05-16,777900,79,34.2,0.5,0.5,0.5,1.0,0.643,0.388,0.345,3,6,92.2,18.8,2600.0,90.6,90.14,3,11,16,-0.5,5.96,107,150,115,151,297,320,302,-1.584,1.584,70.3,7.2,6,5,2,0,0,1,1,16.7,0,0,2.24407,0.56444,-0.41333,-0.41778,92.8,195,60.0,20.0,16.666666666666664,6.1,-2.47,-0.08,2.31,0.5,1,5.866666667,0.345,0.562,-5.866666667,0.155,0.155,0.438,0.255,27.3,
24,694477,"Patrick, Chad",2025-05-16,777898,88,27.3,0.5,0.0,0.6,0.5,0.486,0.437,0.403,3,6,92.7,20.0,2358.0,90.2,89.83,3,13,11,-0.4000000000000057,6.15,105,147,120,149,302,327,299,-1.155,1.155,71.2,7.2,7,5,3,0,0,0,1,14.3,0,0,1.7025,1.11917,0.02833,-0.115,93.3,139,40.0,0.0,0.0,5.57,-1.63,0.31,2.85,0.571,0,4.8125,0.488,0.491,-4.8125,0.097,0.0829999999999999,0.009,0.049,23.1,
24,669022,"Gore, MacKenzie",2025-05-16,777907,102,23.5,0.5,0.0,0.75,0.5,0.446,0.382,0.409,3,6,92.6,5.0,2220.0,89.2,89.52,3,13,11,0.4000000000000057,6.74,106,143,125,147,301,321,296,-0.505,0.505,70.0,7.0,6,4,3,0,0,0,2,33.3,0,0,2.4575,0.47083,0.37,-0.26478,92.7,165,75.0,0.0,0.0,5.74,1.89,0.18,2.61,0.5,0,2.104166667,0.409,0.463,-2.104166667,0.091,0.091,0.037,0.064,23.1,
23,656731,"Megill, Tylor",2025-05-16,777904,72,31.9,0.25,0.0,0.5,0.25,0.318,0.34,0.236,1,4,92.8,24.0,2329.0,91.2,92.02,2,6,17,0.7999999999999972,7.14,112,146,116,151,304,330,288,-0.097,0.097,73.1,7.3,5,2,1,0,0,0,2,40.0,1,20,2.22174,0.58783,0.38609,-0.02435,90.4,204,0.0,0.0,0.0,5.94,-2.76,0.19,2.05,0.4,0,0.42173913,0.389,0.358,-0.42173913,0.014,0.011,-0.108,-0.022,33.3,
23,669160,"May, Dustin",2025-05-16,777899,95,24.2,0.333,1.0,0.0,1.333,0.693,0.65,0.343,1,3,96.0,-0.5,2698.0,91.5,91.75,1,4,19,0.2000000000000028,6.58,106,152,128,149,304,315,294,-1.718,1.718,76.2,7.3,5,2,0,0,0,1,1,20.0,2,40,2.50391,0.25348,0.53522,-0.27174,100.0,195,50.0,50.0,20.0,4.86,-2.26,0.33,1.96,0.6,1,7.469565217,0.606,1.173,-7.469565217,-0.01,-0.006,0.16,0.043,25.0,
22,671737,"Bradley, Taj",2025-05-16,777903,82,26.8,0.5,0.25,0.5,0.75,0.481,0.46,0.498,2,4,95.1,11.0,2157.0,92.5,92.25,5,13,9,-0.2999999999999971,6.35,99,145,111,143,305,325,303,-0.629,0.629,73.3,6.8,6,4,1,1,0,0,1,16.7,0,0,1.82818,0.87409,0.5,-0.19818,93.0,188,50.0,0.0,0.0,6.15,-1.54,0.21,2.39,0.5,0,2.859090909,0.515,0.609,-2.859090909,0.002,-0.015,0.141,0.021,38.5,
21,543135,"Eovaldi, Nathan",2025-05-16,777895,93,22.6,0.25,0.0,0.333,0.25,0.318,0.282,0.191,1,4,84.4,-1.0,2049.0,90.1,90.67,2,9,12,0.6000000000000085,6.88,112,154,117,148,297,325,295,0.098,-0.098,71.7,7.4,5,3,1,0,0,0,1,20.0,1,20,2.56571,0.30381,0.54619,0.44429,91.2,134,33.33333333333333,0.0,0.0,5.21,-2.6,0.66,2.05,0.4,0,-0.466666667,0.353,0.21,0.466666667,0.059,0.047,0.04,0.036,22.2,
21,621121,"McCullers Jr., Lance",2025-05-16,777895,83,25.3,0.0,0.0,0.0,0.0,0.174,0.503,0.267,0,3,94.5,32.7,2403.0,86.4,85.8,0,7,14,-0.6000000000000085,6.05,112,151,123,150,324,338,309,0.442,-0.442,75.1,7.8,4,3,0,0,0,0,0,0.0,1,25,2.79381,0.29571,-0.02571,0.14,96.8,121,66.66666666666666,33.33333333333333,25.0,4.98,-1.76,0.28,2.12,0.25,1,-2.104761905,0.45,0.782,2.104761905,-0.267,-0.2,-0.782,-0.329,0.0,
20,676440,"Bibee, Tanner",2025-05-16,777902,105,19.0,0.25,0.0,0.333,0.25,0.223,0.264,0.284,1,4,74.4,18.0,2449.0,89.8,90.39,1,9,11,0.6000000000000085,6.6,107,151,114,150,296,321,294,0.447,-0.447,72.5,7.1,4,3,1,0,0,0,1,25.0,0,0,2.26,0.5925,-0.027,-0.493,88.6,145,0.0,0.0,0.0,6.29,-2.32,-0.06,2.47,0.25,0,-2.235,0.284,0.316,2.235,-0.034,-0.0339999999999999,-0.066,-0.041,11.1,
