date,game_pk,status,game_time,home_team,home_team_id,home_pitcher_name,home_pitcher_id,away_team,away_team_id,away_pitcher_name,away_pitcher_id,venue_name,home_inning_1_runs,home_inning_1_hits,home_inning_1_errors,home_inning_1_leftOnBase,away_inning_1_runs,away_inning_1_hits,away_inning_1_errors,away_inning_1_leftOnBase,temperature,condition,wind_speed,wind_direction
2021-04-01,634642,Final,2021-04-01 17:05:00,New York Yankees,147,Gerrit Cole,543037.0,Toronto Blue Jays,141,Hyun Jin Ryu,547943.0,Yankee Stadium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,Cloudy,16.0,In From RF
2021-04-01,634645,Final,2021-04-01 17:10:00,Detroit Tigers,116,Matthew Boyd,571510.0,Cleveland Indians,114,Shane Bieber,669456.0,Comerica Park,2.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0,32.0,Snow,15.0,Out To CF
2021-04-01,634638,Final,2021-04-01 18:10:00,Milwaukee Brewers,158,Brandon Woodruff,605540.0,Minnesota Twins,142,Kenta Maeda,628317.0,American Family Field,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,63.0,Roof Closed,0.0,
2021-04-01,634634,Final,2021-04-01 18:20:00,Chicago Cubs,112,Kyle Hendricks,543294.0,Pittsburgh Pirates,134,Chad Kuhl,641771.0,Wrigley Field,1.0,1.0,0.0,2.0,2.0,1.0,0.0,0.0,36.0,Sunny,7.0,L To R
2021-04-01,634622,Final,2021-04-01 19:05:00,Philadelphia Phillies,143,Aaron Nola,605400.0,Atlanta Braves,144,Max Fried,608331.0,Citizens Bank Park,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,49.0,Partly Cloudy,19.0,L To R
2021-04-01,634615,Final,2021-04-01 20:10:00,Colorado Rockies,115,Germán Márquez,608566.0,Los Angeles Dodgers,119,Clayton Kershaw,477132.0,Coors Field,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,70.0,Sunny,5.0,Out To CF
2021-04-01,634618,Final,2021-04-01 20:10:00,San Diego Padres,135,Yu Darvish,506433.0,Arizona Diamondbacks,109,Madison Bumgarner,518516.0,Petco Park,0.0,0.0,0.0,0.0,1.0,3.0,0.0,2.0,85.0,Partly Cloudy,10.0,L To R
2021-04-01,634636,Final,2021-04-01 20:10:00,Cincinnati Reds,113,Luis Castillo,622491.0,St. Louis Cardinals,138,Jack Flaherty,656427.0,Great American Ball Park,1.0,1.0,1.0,0.0,6.0,4.0,0.0,0.0,37.0,Cloudy,16.0,Out To RF
2021-04-01,634630,Final,2021-04-01 20:10:00,Kansas City Royals,118,Brad Keller,641745.0,Texas Rangers,140,Kyle Gibson,502043.0,Kauffman Stadium,5.0,4.0,0.0,2.0,5.0,7.0,0.0,2.0,50.0,Sunny,4.0,In From RF
2021-04-01,634652,Final,2021-04-01 20:10:00,Miami Marlins,146,Sandy Alcantara,645261.0,Tampa Bay Rays,139,Tyler Glasnow,607192.0,loanDepot park,0.0,1.0,0.0,1.0,0.0,1.0,0.0,3.0,72.0,Roof Closed,0.0,
2021-04-01,634655,Final,2021-04-02 02:05:00,Los Angeles Angels,108,Dylan Bundy,605164.0,Chicago White Sox,145,Lucas Giolito,608337.0,Angel Stadium,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,81.0,Partly Cloudy,6.0,Out To CF
2021-04-01,634640,Final,2021-04-02 02:07:00,Oakland Athletics,133,Chris Bassitt,605135.0,Houston Astros,117,Zack Greinke,425844.0,Oakland Coliseum,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,68.0,Clear,9.0,Out To RF
2021-04-01,634625,Final,2021-04-02 02:10:00,Seattle Mariners,136,Marco Gonzales,594835.0,San Francisco Giants,137,Kevin Gausman,592332.0,T-Mobile Park,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,Cloudy,3.0,In From RF
2021-04-02,634576,Final,2021-04-03 02:10:00,San Diego Padres,135,Blake Snell,605483.0,Arizona Diamondbacks,109,Merrill Kelly,518876.0,Petco Park,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,Clear,5.0,L To R
2021-04-02,634605,Final,2021-04-03 01:40:00,Oakland Athletics,133,Jesús Luzardo,666200.0,Houston Astros,117,Cristian Javier,664299.0,Oakland Coliseum,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,55.0,Partly Cloudy,17.0,Out To RF
2021-04-02,634631,Final,2021-04-03 01:38:00,Los Angeles Angels,108,Andrew Heaney,571760.0,Chicago White Sox,145,Dallas Keuchel,572971.0,Angel Stadium,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,Clear,10.0,Out To LF
2021-04-02,634578,Final,2021-04-03 02:10:00,Seattle Mariners,136,Yusei Kikuchi,579328.0,San Francisco Giants,137,Johnny Cueto,456501.0,T-Mobile Park,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,53.0,Partly Cloudy,2.0,L To R
2021-04-02,634602,Final,2021-04-02 23:10:00,Miami Marlins,146,Pablo López,641154.0,Tampa Bay Rays,139,Ryan Yarbrough,642232.0,loanDepot park,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,74.0,Roof Closed,0.0,
2021-04-02,634627,Final,2021-04-02 18:10:00,Boston Red Sox,111,Nathan Eovaldi,543135.0,Baltimore Orioles,110,John Means,607644.0,Fenway Park,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,37.0,Cloudy,10.0,Out To RF
2021-04-02,634653,Final,2021-04-03 00:40:00,Colorado Rockies,115,Antonio Senzatela,622608.0,Los Angeles Dodgers,119,Trevor Bauer,545333.0,Coors Field,0.0,0.0,0.0,0.0,2.0,4.0,0.0,2.0,73.0,Clear,6.0,Out To LF
2021-04-03,634639,Final,2021-04-04 01:10:00,Seattle Mariners,136,Chris Flexen,623167.0,San Francisco Giants,137,Logan Webb,657277.0,T-Mobile Park,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,60.0,Cloudy,2.0,Calm
2021-04-03,634646,Final,2021-04-04 01:07:00,Los Angeles Angels,108,Alex Cobb,502171.0,Chicago White Sox,145,Lance Lynn,458681.0,Angel Stadium,0.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,71.0,Clear,10.0,Out To CF
2021-04-03,634623,Final,2021-04-04 00:40:00,San Diego Padres,135,Joe Musgrove,605397.0,Arizona Diamondbacks,109,Caleb Smith,592761.0,Petco Park,2.0,3.0,0.0,3.0,0.0,1.0,0.0,1.0,64.0,Clear,15.0,Out To RF
2021-04-03,634633,Final,2021-04-04 00:10:00,Colorado Rockies,115,Jon Gray,592351.0,Los Angeles Dodgers,119,Walker Buehler,621111.0,Coors Field,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,77.0,Clear,8.0,R To L
2021-04-03,634575,Final,2021-04-03 23:10:00,Milwaukee Brewers,158,Corbin Burnes,669203.0,Minnesota Twins,142,José Berríos,621244.0,American Family Field,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,Roof Closed,0.0,
2021-04-03,634654,Final,2021-04-03 20:10:00,Cincinnati Reds,113,Tyler Mahle,641816.0,St. Louis Cardinals,138,Adam Wainwright,425794.0,Great American Ball Park,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,Sunny,13.0,R To L
2021-04-03,634596,Final,2021-04-03 22:10:00,Miami Marlins,146,Elieser Hernández,622694.0,Tampa Bay Rays,139,Rich Hill,448179.0,loanDepot park,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,70.0,Roof Closed,0.0,
2021-04-03,634580,Final,2021-04-03 20:05:00,Philadelphia Phillies,143,Zack Wheeler,554430.0,Atlanta Braves,144,Charlie Morton,450203.0,Citizens Bank Park,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,Sunny,8.0,L To R
2021-04-03,634643,Final,2021-04-03 18:20:00,Chicago Cubs,112,Jake Arrieta,453562.0,Pittsburgh Pirates,134,Tyler Anderson,542881.0,Wrigley Field,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,62.0,Sunny,8.0,Out To CF
2021-04-03,634604,Final,2021-04-03 18:10:00,Kansas City Royals,118,Mike Minor,501985.0,Texas Rangers,140,Kohei Arihara,685503.0,Kauffman Stadium,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,68.0,Sunny,15.0,L To R
2021-04-03,634573,Final,2021-04-03 17:10:00,Detroit Tigers,116,Julio Teheran,527054.0,Cleveland Indians,114,Zach Plesac,668676.0,Comerica Park,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,Partly Cloudy,20.0,L To R
2021-04-03,634577,Final,2021-04-03 17:10:00,Boston Red Sox,111,Tanner Houck,656557.0,Baltimore Orioles,110,Matt Harvey,518774.0,Fenway Park,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,46.0,Sunny,15.0,L To R
2021-04-03,634644,Final,2021-04-03 17:05:00,New York Yankees,147,Corey Kluber,446372.0,Toronto Blue Jays,141,Ross Stripling,548389.0,Yankee Stadium,0.0,1.0,0.0,2.0,0.0,2.0,0.0,1.0,44.0,Sunny,11.0,Out To RF
2021-04-03,634629,Final,2021-04-03 20:07:00,Oakland Athletics,133,Cole Irvin,608344.0,Houston Astros,117,Lance McCullers Jr.,621121.0,Oakland Coliseum,1.0,1.0,0.0,2.0,1.0,2.0,0.0,1.0,60.0,Partly Cloudy,12.0,Out To RF
2021-04-04,634651,Final,2021-04-04 20:07:00,Oakland Athletics,133,Sean Manaea,640455.0,Houston Astros,117,José Urquidy,664353.0,Oakland Coliseum,1.0,3.0,0.0,3.0,1.0,2.0,0.0,0.0,61.0,Partly Cloudy,10.0,Out To RF
2021-04-04,634557,Final,2021-04-04 19:10:00,Colorado Rockies,115,Austin Gomber,596295.0,Los Angeles Dodgers,119,Julio Urías,628711.0,Coors Field,0.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,77.0,Cloudy,10.0,L To R
