gamePk,away_runs,away_hits,away_errors,away_lob,home_runs,home_hits,home_errors,home_lob
634642,0,0,0,0,0,0,0,0
634645,0,1,0,1,2,3,0,1
634638,0,1,0,2,0,0,0,0
634634,2,1,0,0,1,1,0,2
634622,0,0,0,0,1,1,0,2
634615,0,2,0,2,0,1,0,0
634618,1,3,0,2,0,0,0,0
634636,6,4,0,0,1,1,1,0
634630,5,7,0,2,5,4,0,2
634652,0,1,0,3,0,1,0,1
634655,0,1,0,1,0,0,0,0
634640,0,1,0,0,0,0,0,0
634625,0,0,0,0,0,0,0,0
634627,0,1,0,0,0,1,0,0
634647,2,2,0,0,0,1,0,1
634627,0,1,0,0,0,1,0,0
634602,0,1,0,2,0,0,0,0
634653,2,4,0,2,0,0,0,0
634631,0,0,0,0,1,2,0,0
634605,0,1,0,1,0,0,0,0
634576,0,0,0,0,0,0,0,0
634578,0,0,0,0,0,0,0,1
634644,0,2,0,1,0,1,0,2
634577,0,1,0,1,0,1,0,1
634573,0,0,0,0,2,1,0,0
634604,2,2,0,0,0,0,0,0
634643,1,2,0,2,0,0,0,0
634580,0,0,0,0,0,1,0,0
634629,1,2,0,1,1,1,0,2
634654,0,0,0,0,0,0,0,0
634596,0,0,0,0,1,1,0,1
634575,0,0,0,0,0,0,0,0
634633,0,1,0,2,0,0,0,0
634623,0,1,0,1,2,3,0,3
634646,0,1,0,0,0,1,0,2
634639,0,0,0,0,0,2,0,2
634620,0,1,0,0,2,3,0,1
634617,0,0,0,1,0,1,0,2
634607,0,1,0,1,0,0,0,0
634610,3,4,0,1,0,0,0,0
634611,1,2,0,1,2,1,1,0
634560,0,1,0,1,0,0,0,0
634593,0,2,0,2,0,1,0,1
634597,1,2,0,1,0,0,0,0
634613,0,0,0,0,2,1,0,1
634557,3,0,0,1,0,0,1,0
634651,1,2,0,0,1,3,0,3
634572,2,2,0,1,0,0,0,0
634637,0,0,0,1,2,3,0,2
634556,2,3,0,0,0,1,0,2
634588,1,2,0,1,0,0,1,0
634612,1,2,0,2,0,0,0,0
634616,0,1,0,3,0,0,0,0
634587,0,0,0,0,0,1,0,1
634558,2,2,0,0,0,1,0,1
634562,3,1,0,2,0,0,0,1
634606,0,0,0,0,0,1,0,1
634601,0,0,0,2,0,2,0,2
634566,0,0,0,0,0,0,0,0
634552,3,4,0,2,0,0,0,1
634600,0,0,0,1,0,1,0,2
634591,0,1,0,1,0,1,0,1
634551,0,1,0,2,0,1,0,2
634595,0,1,0,1,0,1,0,1
634603,0,1,0,1,0,0,0,1
634624,2,2,0,0,0,0,0,0
634586,0,0,0,1,2,3,2,1
634599,0,1,0,1,0,2,0,3
634530,0,0,0,0,1,1,0,0
634594,0,0,2,1,1,1,1,2
634608,0,0,0,0,0,0,0,0
634590,0,1,0,1,1,1,0,0
634559,3,2,0,0,0,0,0,0
634635,1,2,0,1,2,2,0,0
634619,0,0,0,0,0,1,0,1
634628,0,1,0,2,1,2,0,1
634529,0,0,0,0,0,1,0,1
634609,0,0,0,0,0,0,0,0
634527,1,1,0,2,4,5,0,2
634595,0,1,0,1,0,1,0,1
634570,0,0,1,0,5,2,0,0
