Date,Home Team,Home Pitcher,Home Lineup Confirmed,Home Lineup,Away Team,Away Pitcher,Away Lineup Confirmed,Away Lineup
2021-04-01,New York Yankees,Gerrit Cole,True,"[543257, 600869, 650489, 408234, 605612, 570731, 608577, 467092, 622682, 592444, 571510, 542585, 596057, 642397]",Toronto Blue Jays,Hyun Jin Ryu,True,"[656669, 592325, 514917, 608070, 592696, 614177, 647304, 644374, 641343, 642708, 547379, 665926, 669456, 543766, 675916]"
2021-04-01,Detroit Tigers,Matthew Boyd,True,"[518934, 592450, 543305, 519317, 650402, 570482, 596142, 643565, 543309, 457803, 642180, 640449, 458731, 543037, 643338, 642528, 503285, 656793]",Cleveland Indians,Shane Bieber,True,"[543760, 624415, 666182, 606192, 665489, 666971, 642133, 641505, 545341, 643376, 547943, 543022, 475479, 503569, 605447, 657240]"
2021-04-01,Milwaukee Brewers,Brandon Woodruff,True,"[593160, 643217, 467793, 521692, 624585, 641531, 593643, 664728, 572191, 670032, 641745, 622092, 672578, 534910, 605130, 518813, 451584]",Minnesota Twins,Kenta Maeda,True,"[643396, 621311, 608336, 669256, 663993, 571788, 642201, 665750, 624431, 502043, 621368, 621129, 622250, 667463, 676969, 663465]"
2021-04-01,Chicago Cubs,Kyle Hendricks,True,"[608385, 448281, 592206, 458015, 553993, 519058, 669222, 571980, 606157, 663697, 571466, 607219, 607468, 608334, 571657, 622491, 592135, 663886]",Pittsburgh Pirates,Chad Kuhl,True,"[669242, 502671, 571448, 657557, 641933, 425877, 666185, 642211, 656427, 643778, 664854, 650893, 572761, 606149, 621052]"
2021-04-01,Philadelphia Phillies,Aaron Nola,True,"[664023, 575929, 519203, 592178, 592626, 595879, 518792, 623520, 592094, 595465, 622110, 605177, 572193, 621219, 543294, 519443, 571521, 519299]",Atlanta Braves,Max Fried,True,"[624428, 663647, 668804, 592567, 621028, 570256, 607732, 546990, 641771, 641583, 621249, 595943, 605280, 607572, 570481, 670280, 608717, 605421, 593144]"
2021-04-01,Colorado Rockies,Germán Márquez,True,"[457705, 656555, 547180, 592663, 664761, 544369, 516416, 656514, 596451, 605400, 605151, 621237, 543543, 593576, 641401]",Los Angeles Dodgers,Clayton Kershaw,True,"[660670, 645277, 518692, 542303, 518595, 621020, 663586, 665506, 608331, 554431, 467055, 621345, 455119, 501303, 519293, 518858]"
2021-04-01,San Diego Padres,Yu Darvish,True,"[572816, 446321, 643256, 516782, 542583, 594807, 605119, 665862, 595751, 500743, 645261, 642423, 571670, 554340, 643265]",Arizona Diamondbacks,Madison Bumgarner,True,"[660294, 640457, 664126, 650895, 668227, 664040, 650490, 595281, 642715, 572287, 607192, 657044, 622534]"
2021-04-01,Cincinnati Reds,Luis Castillo,True,"[502054, 665487, 592518, 543333, 571976, 630105, 595777, 605170, 506433, 657612, 605309, 672779, 641941, 673490, 519141, 453343]",St. Louis Cardinals,Jack Flaherty,True,"[668942, 606466, 572233, 444482, 452678, 500871, 656976, 641796, 519390, 518516, 621500, 656464, 592233, 622065, 608348, 664199]"
2021-04-01,Kansas City Royals,Brad Keller,True,"[606132, 658069, 596115, 453568, 543068, 553869, 572008, 641658, 608566, 592346, 602074, 622075, 641755, 641857, 453268]",Texas Rangers,Kyle Gibson,True,"[605141, 608369, 457759, 641355, 571970, 621035, 666158, 519076, 518397, 621458, 605131, 669257, 477132, 608349, 656716, 607461]"
2021-04-01,Miami Marlins,Sandy Alcantara,True,"[543939, 669374, 592885, 541645, 543768, 623352, 456715, 553882, 649966, 596129, 606115, 605540, 641856, 642547, 598265, 642233, 656420, 458676, 621002]",Tampa Bay Rays,Tyler Glasnow,True,"[650333, 518626, 595909, 593871, 593934, 596146, 621439, 641598, 592743, 628317, 608648, 443558, 664054, 664247, 573124, 570663, 517008, 553902, 677976]"
2021-04-01,Los Angeles Angels,Dylan Bundy,True,"[571745, 664034, 572122, 657108, 666211, 664238, 641584, 608596, 592530, 620443, 641487, 594835, 594987, 676684, 606160, 664948]",Chicago White Sox,Lucas Giolito,True,"[596103, 543105, 573262, 456781, 446334, 474832, 527038, 457763, 543063, 643289, 592332, 670056, 605538, 606424, 643511, 459429, 501625]"
2021-04-01,Oakland Athletics,Chris Bassitt,True,"[664058, 660271, 545361, 543685, 457708, 405395, 578428, 545358, 451594, 605164, 642083, 594577, 628452]",Houston Astros,Zack Greinke,True,"[641313, 594809, 547989, 660162, 518735, 544725, 673357, 641470, 663611, 608337, 676051, 607481, 641582]"
2021-04-01,Seattle Mariners,Marco Gonzales,True,"[571771, 657077, 502110, 593428, 646240, 592669, 503556, 543877, 666915, 543135, 542882, 657031, 592169, 617228]",San Francisco Giants,Kevin Gausman,True,"[656775, 641820, 623993, 663624, 547004, 669720, 596748, 602104, 520471, 600474, 607644, 656945, 491624]"
2021-04-02,Boston Red Sox,Nathan Eovaldi,True,"[592192, 657656, 621566, 656305, 519048, 664789, 476704, 669221, 640461, 462101, 605135, 433589, 642152, 592473, 605525, 594056]",Baltimore Orioles,John Means,True,"[514888, 488726, 676801, 608324, 596825, 663656, 621043, 670541, 493329, 664702, 455117, 425844, 660600, 501925, 642130, 592773]"
2021-06-19,Washington Nationals,Max Scherzer,True,"[656941, 607208, 665742, 605137, 543281, 516770, 488671, 645302, 605452, 474568, 608723, 475582, 607560]",New York Mets,Jacob deGrom,True,"[542340, 596019, 642086, 607680, 624413, 641856, 641645, 592863, 621512, 656849, 571901, 612434, 607625, 592273, 543507]"
2021-04-02,Boston Red Sox,Nathan Eovaldi,True,"[571771, 657077, 502110, 593428, 646240, 592669, 503556, 543877, 666915, 543135, 542882, 657031, 592169, 617228]",Baltimore Orioles,John Means,True,"[656775, 641820, 623993, 663624, 547004, 669720, 596748, 602104, 520471, 600474, 607644, 656945, 491624]"
2021-04-02,Miami Marlins,Pablo López,True,"[500743, 516782, 542583, 642423, 643265, 605119, 594807, 665862, 595751, 641154, 542947, 621446, 595928, 572816, 554340, 542914, 542932]",Tampa Bay Rays,Ryan Yarbrough,True,"[660294, 640457, 552640, 642715, 668227, 664040, 650490, 650895, 621563, 622534, 642336, 642232, 664126, 475054, 595411, 595281]"
2021-04-02,Colorado Rockies,Antonio Senzatela,True,"[502054, 665487, 592518, 543333, 571976, 630105, 669134, 595777, 489334, 592865, 641941, 672779, 453343, 605483, 622761]",Los Angeles Dodgers,Trevor Bauer,True,"[641796, 606466, 572233, 500871, 452678, 608348, 519390, 668942, 621500, 444482, 518876, 661255, 656464, 656976, 664199, 592233, 642165]"
2021-04-02,Los Angeles Angels,Andrew Heaney,True,"[592192, 657656, 643393, 621566, 656305, 519048, 572039, 476704, 462101, 664789, 640461, 605244, 666200, 572143, 489265, 518617, 605525]",Chicago White Sox,Dallas Keuchel,True,"[514888, 488726, 608324, 663656, 621043, 670541, 493329, 664702, 455117, 664299, 650556, 548384, 501925, 642130, 519151]"
2021-04-02,Oakland Athletics,Jesús Luzardo,True,"[664058, 660271, 545361, 543685, 457708, 405395, 665120, 578428, 545358, 670351, 451594, 571760, 448855, 669735, 594577, 628452, 518553, 592222]",Houston Astros,Cristian Javier,True,"[641313, 673357, 547989, 660162, 683734, 571740, 518735, 594809, 606213, 663611, 572971, 641582, 656629, 605359, 521230]"
2021-04-02,San Diego Padres,Blake Snell,True,"[571745, 664034, 572122, 657108, 666211, 664238, 641584, 620443, 641487, 579328, 608716, 641871, 676606]",Arizona Diamondbacks,Merrill Kelly,True,"[596103, 573262, 456781, 446334, 573131, 600303, 527038, 474832, 457763, 543063, 643289, 543105, 456501, 593974, 643511, 459429]"
2021-04-02,Seattle Mariners,Yusei Kikuchi,True,"[606132, 658069, 608032, 642068, 596115, 453568, 543068, 641857, 572008, 641386, 596112, 641658, 624513, 622608, 468504, 656541]",San Francisco Giants,Johnny Cueto,True,"[605141, 608369, 457759, 641355, 571970, 669257, 572041, 666158, 545333, 456034, 607461, 624647]"
2021-04-03,New York Yankees,Corey Kluber,True,"[571771, 657077, 502110, 593428, 646240, 503556, 666915, 614173, 608700, 543877, 656557, 592169, 650382, 570488]",Toronto Blue Jays,Ross Stripling,True,"[656775, 641820, 623993, 663624, 547004, 669720, 596748, 602104, 520471, 600474, 518774, 592644, 622253, 491624]"
2021-04-03,Boston Red Sox,Tanner Houck,True,"[457705, 656555, 547180, 592663, 664761, 544369, 516416, 596451, 554430, 605151, 543543, 593576]",Baltimore Orioles,Matt Harvey,True,"[660670, 645277, 518692, 542303, 518595, 621020, 663586, 665506, 450203, 542255, 656794, 592426, 660623, 458708, 467055]"
2021-04-03,Detroit Tigers,Julio Teheran,True,"[518934, 592450, 543305, 519317, 650402, 457803, 642180, 596142, 570482, 640449, 458731, 446372, 642528, 476595, 503285, 643338]",Cleveland Indians,Zach Plesac,True,"[543760, 624415, 666182, 606192, 665489, 666971, 642133, 545341, 643376, 605412, 548389, 543022, 621366, 503569, 641835, 606303]"
2021-04-03,Kansas City Royals,Mike Minor,True,"[575929, 592178, 519203, 595879, 592626, 545350, 518792, 623520, 453562, 519299, 519443, 605177, 664023, 518886]",Texas Rangers,Kohei Arihara,True,"[624428, 663647, 570481, 668804, 592567, 621028, 570256, 607732, 641583, 542881, 605280, 546990, 640444, 593140, 665854]"
2021-04-03,Chicago Cubs,Jake Arrieta,True,"[500743, 516782, 542583, 643265, 542914, 621446, 665862, 542932, 605119, 595453, 622694, 669294, 643256, 647315, 572816, 542947, 571670, 594807]",Pittsburgh Pirates,Tyler Anderson,True,"[640457, 622534, 621563, 650490, 502042, 657044, 605488, 642336, 595281, 642715, 572287, 664040, 543521, 670712, 448179, 660294]"
2021-04-03,Philadelphia Phillies,Zack Wheeler,True,"[592192, 621566, 656305, 519048, 476704, 640461, 572039, 462101, 643393, 605244, 608344, 642152, 572143, 594056]",Atlanta Braves,Charlie Morton,True,"[514888, 488726, 676801, 649557, 663656, 621043, 670541, 493329, 664702, 455117, 621121, 592773, 660600, 548384]"
2021-04-03,Oakland Athletics,Cole Irvin,True,"[543257, 600869, 650489, 408234, 570731, 608577, 467092, 592348, 592444, 527054, 502706, 605242, 641302, 650530]",Houston Astros,Lance McCullers Jr.,True,"[592325, 642708, 514917, 608070, 592696, 614177, 647304, 641343, 644374, 547379, 665926, 668676, 621295, 664208, 663986]"
2021-04-03,Cincinnati Reds,Tyler Mahle,True,"[593160, 643217, 502481, 467793, 521692, 624585, 572191, 664728, 593643, 670032, 501985, 596001, 641394, 534910, 622251]",St. Louis Cardinals,Adam Wainwright,True,"[643396, 621311, 608336, 669256, 663993, 642201, 608597, 624431, 665750, 518586, 685503, 622250, 667463, 676969, 456713]"
2021-04-03,Miami Marlins,Elieser Hernández,True,"[543939, 543768, 649966, 592885, 669374, 598265, 456715, 553882, 621002, 606115, 596129, 444489, 669203, 608718, 641856, 656420]",Tampa Bay Rays,Rich Hill,True,"[650333, 593871, 621439, 596146, 593934, 595909, 680777, 592743, 621244, 573124, 443558, 608648, 517008]"
2021-04-03,Milwaukee Brewers,Corbin Burnes,True,"[608385, 669222, 592206, 606157, 458015, 553993, 519058, 663697, 571980, 571466, 641816, 592135, 672335, 448281, 607219]",Minnesota Twins,José Berríos,True,"[669242, 502671, 571448, 657557, 641933, 425877, 666185, 642211, 621573, 425794, 663765, 453192, 596056, 663855, 643778, 572761]"
