league,team_id,team,player_id,player,position_id,position,status,injury_id,date,short_description,injury_type,injury_location,injury_detail,injury_side,return_date
mlb,29,Arizona Diamondbacks,id,A.J. Puk,0,RP,60-Day-IL,962449,2025-05-12T23:46Z,"Puk (elbow) is expected to begin a throwing program in the coming week, Alex Weiner of ArizonaSports.com reports.",Elbow,,Strain,Left,2025-07-04
mlb,29,Arizona Diamondbacks,id,Justin Martinez,0,RP,15-Day-IL,962448,2025-05-12T23:45Z,"Martinez (shoulder) will throw to live hitters Wednesday, Alex Weiner of ArizonaSports.com reports.",Shoulder,,Inflammation,Right,2025-05-16
mlb,29,Arizona Diamondbacks,id,Jordan Montgomery,15,SP,60-Day-IL,-142731,2025-03-26T22:18Z,"The Diamondbacks placed Montgomery (elbow) on the 60-day injured list Wednesday, Alex Weiner of ArizonaSports.comreports.",Elbow,,Surgery,Left,2026-07-01
mlb,29,Arizona Diamondbacks,id,Blake Walston,15,SP,60-Day-IL,953071,2025-03-23T19:07Z,The Diamondbacks placed Walston (elbow) on the 60-day injured list Sunday.,Elbow,,Surgery,Left,2026-07-01
mlb,11,Athletics,id,Luis Medina,15,SP,60-Day-IL,962368,2025-05-12T17:29Z,"Medina (elbow) began a throwing program March 17, MLB.com reports.",Elbow,,Surgery,Right,2025-09-15
mlb,11,Athletics,id,Ken Waldichuk,15,SP,60-Day-IL,962367,2025-05-12T17:24Z,"Waldichuk (elbow) threw his most recent bullpen session Saturday and is targeting a return from the 60-day injured list before the All-Star break, MLB.com reports.",Elbow,,Surgery,Left,2025-07-01
mlb,11,Athletics,id,Michel Otanez,0,RP,15-Day-IL,962366,2025-05-12T17:19Z,Otanez (shoulder) struck out three and allowed two hits and no walks over two scoreless innings in his rehab appearance Sunday with Triple-A Las Vegas.,Shoulder,,Sprain,Right,2025-05-16
mlb,11,Athletics,id,Brady Basso,0,RP,60-Day-IL,962365,2025-05-12T17:09Z,"Basso (shoulder) is scheduled to throw a 15-pitch bullpen session this week, MLB.com reports.",Shoulder,,Strain,Left,2025-06-08
mlb,11,Athletics,id,T.J. McFarland,0,RP,Day-To-Day,962364,2025-05-12T17:06Z,"McFarland (groin) is scheduled to undergo an MRI on Monday, MLB.com reports.",Groin,,Not Specified,Left,2025-05-13
mlb,11,Athletics,id,J.T. Ginn,15,SP,15-Day-IL,962363,2025-05-12T17:01Z,"Ginn (elbow) is expected to report to Triple-A Las Vegas this week to begin a rehab assignment, MLB.com reports.",Elbow,,Inflammation,Right,2025-05-19
mlb,11,Athletics,id,Zack Gelof,4,2B,10-Day-IL,961107,2025-05-05T23:11Z,"Gelof (wrist) had his rehab assignment paused after being diagnosed with a stress reaction in his ribs, Martin Gallegos of MLB.com reports.",Ribs,,Soreness,Not Specified,2025-05-27
mlb,15,Atlanta Braves,id,Ronald Acuna Jr.,9,RF,10-Day-IL,962396,2025-05-12T20:36Z,"Acuna (knee) is scheduled to begin a minor-league rehab assignment in the rookie-level Florida Complex League on Tuesday, Gabe Burns of The Atlanta Journal-Constitution reports.",Knee,,Surgery,Left,2025-05-27
mlb,15,Atlanta Braves,id,Spencer Strider,15,SP,15-Day-IL,962395,2025-05-12T20:30Z,"Strider (hamstring) is scheduled to throw 70-to-75 pitches in a simulated game Wednesday, Mark Bowman of MLB.com reports.",Hamstring,,Strain,Right,2025-05-20
mlb,15,Atlanta Braves,id,Charles Leblanc,5,3B,Day-To-Day,-148962,2025-05-01T14:09Z,Atlanta reassigned Leblanc to minor-league camp Thursday.,Undisclosed,,Not Specified,Not Specified,2025-05-17
mlb,15,Atlanta Braves,id,Nacho Alvarez Jr.,6,SS,60-Day-IL,958633,2025-04-23T13:45Z,Atlanta transferred Alvarez (wrist) from the 10-day injured list to the 60-day IL on Wednesday.,Wrist,,Inflammation,Left,2025-05-23
mlb,15,Atlanta Braves,id,Reynaldo Lopez,15,SP,60-Day-IL,955861,2025-04-08T20:29Z,"Lopez underwent arthroscopic shoulder surgery Tuesday and will be shut down for 12 weeks, David O'Brien of The Athletic reports.",Shoulder,,Surgery,Right,2025-08-01
mlb,15,Atlanta Braves,id,Joe Jimenez,0,RP,60-Day-IL,-143724,2025-03-31T19:05Z,Atlanta placed Jimenez on the 15-day injured list Tuesday with a left knee articular cartilage injury.,Knee,,Surgery,Left,2025-08-01
mlb,15,Atlanta Braves,id,Royber Salinas,0,RP,Day-To-Day,-143065,2025-03-27T20:10Z,Atlanta reassigned Salinas (shoulder) to minor-league camp Tuesday.,Shoulder,,Surgery,Right,2025-08-01
mlb,1,Baltimore Orioles,id,Andrew Kittredge,0,RP,15-Day-IL,962239,2025-05-11T21:18Z,"Kittredge (knee) tossed one scoreless inning, allowing two hits while striking out a batter in Triple-A Norfolk's loss against Nashville on Sunday, Roch Kubatko of MASNSports.com reports.",Knee,,Surgery,Left,2025-05-30
mlb,1,Baltimore Orioles,id,Carlos Tavera,0,RP,Day-To-Day,-150641,2025-05-11T04:54Z,,Undisclosed,,,,2025-05-20
mlb,1,Baltimore Orioles,id,Jordan Westburg,4,2B,10-Day-IL,961867,2025-05-09T23:49Z,"Orioles manager Brandon Hyde told reporters Friday that Westburg (hamstring) won't play a rehab game with Triple-A Norfolk until late next week, Matt Weyrich of The Baltimore Sun reports.",Hamstring,,Strain,Left,2025-05-20
mlb,1,Baltimore Orioles,id,Colton Cowser,7,LF,60-Day-IL,961866,2025-05-09T23:45Z,"Cowser (thumb) was seen playing catch Friday, Matt Weyrich of The Baltimore Sun reports.",Thumb,,Fracture,Left,2025-05-30
mlb,1,Baltimore Orioles,id,Brandon Young,1,P,Day-To-Day,-149861,2025-05-06T22:12Z,,Shoulder,,Soreness,Right,2025-05-14
mlb,1,Baltimore Orioles,id,Ramon Urias,5,3B,10-Day-IL,-149330,2025-05-03T20:35Z,Urias (hamstring) isn't in the lineup for Saturday's game against the Royals.,Hamstring,,Strain,Right,2025-05-13
mlb,1,Baltimore Orioles,id,Grayson Rodriguez,15,SP,60-Day-IL,960483,2025-05-02T20:53Z,"Orioles general manager Mike Elias said Friday that Rodriguez (lat/elbow) will get re-imaged in a few weeks and could be cleared to resume throwing at that time, Andy Kostka of TheBaltimoreBanner.com reports.",Lat,,Strain,Right,2025-07-18
mlb,1,Baltimore Orioles,id,Gary Sanchez,2,C,10-Day-IL,-148465,2025-04-28T22:55Z,,Wrist,,Inflammation,Right,2025-05-16
mlb,1,Baltimore Orioles,id,Kyle Bradish,15,SP,60-Day-IL,959634,2025-04-28T20:26Z,"Orioles manager Brandon Hyde said that Bradish (elbow) completed another bullpen session Monday, Roch Kubatko of MASNSports.com reports.",Elbow,,Surgery,Right,2025-08-01
mlb,1,Baltimore Orioles,id,Tyler Wells,15,SP,60-Day-IL,959633,2025-04-28T20:24Z,"Orioles manager Brandon Hyde said Monday that Wells (elbow) will throw a bullpen session Friday, Jake Rill of MLB.com reports.",Elbow,,Surgery,Right,2025-08-01
mlb,1,Baltimore Orioles,id,Justin Armbruester,15,SP,Day-To-Day,959046,2025-04-25T19:23Z,"Armbruester underwent right lat surgery Friday, Andy Kostka of TheBaltimoreBanner.com reports.",Lat,,Surgery,Not Specified,2025-09-01
mlb,1,Baltimore Orioles,id,Cody Poteet,0,RP,15-Day-IL,-147305,2025-04-22T14:39Z,The Orioles placed Poteet on the 15-day injured list Tuesday with right shoulder inflammation.,Shoulder,,Inflammation,Right,2025-05-17
mlb,1,Baltimore Orioles,id,Albert Suarez,0,RP,60-Day-IL,956537,2025-04-12T16:07Z,"Suarez (shoulder) said Saturday that he will be shut down from throwing for about three weeks, Matt Weyrich of The Baltimore Sun reports.",Shoulder,,Strain,Right,2025-06-10
mlb,1,Baltimore Orioles,id,Robinson Martinez,0,RP,Day-To-Day,-143481,2025-03-30T06:31Z,"Martinez signed a minor-league contract with the Orioles on Thursday, Matt Weyrich of The Baltimore Sun reports.",Undisclosed,,Not Specified,Not Specified,2025-05-13
