,Total Rows,Missing Count,Missing Percentage
home_fielding_defwarbr,3034,47,1.5491100856954514
away_batting_gamesplayed,3034,47,1.5491100856954514
away_batting_teamgamesplayed,3034,47,1.5491100856954514
away_batting_hitbypitch,3034,47,1.5491100856954514
home_fielding_catcherthirdinningsplayed,3034,47,1.5491100856954514
home_fielding_gamesstarted,3034,47,1.5491100856954514
home_fielding_totalbases,3034,47,1.5491100856954514
home_fielding_hits,3034,47,1.5491100856954514
home_fielding_outsmade,3034,47,1.5491100856954514
home_fielding_extrabases,3034,47,1.5491100856954514
home_fielding_ballsinzone,3034,47,1.5491100856954514
home_fielding_tripleplays,3034,47,1.5491100856954514
home_fielding_outsonfield,3034,47,1.5491100856954514
home_fielding_putouts,3034,47,1.5491100856954514
home_fielding_pickoffs,3034,47,1.5491100856954514
home_fielding_outfieldassists,3034,47,1.5491100856954514
home_fielding_assists,3034,47,1.5491100856954514
home_fielding_passedballs,3034,47,1.5491100856954514
home_fielding_errors,3034,47,1.5491100856954514
home_fielding_opportunities,3034,47,1.5491100856954514
away_batting_runscreated,3034,47,1.5491100856954514
away_batting_extrabasehits,3034,47,1.5491100856954514
away_batting_projectedhomeruns,3034,47,1.5491100856954514
away_batting_plateappearances,3034,47,1.5491100856954514
away_batting_totalbases,3034,47,1.5491100856954514
away_batting_isqualifiedsteals,3034,47,1.5491100856954514
away_batting_isqualified,3034,47,1.5491100856954514
away_batting_playerrating,3034,47,1.5491100856954514
away_batting_pinchhits,3034,47,1.5491100856954514
away_batting_pinchatbats,3034,47,1.5491100856954514
away_batting_gamesstarted,3034,47,1.5491100856954514
away_batting_pitches,3034,47,1.5491100856954514
away_batting_caughtstealing,3034,47,1.5491100856954514
away_batting_flyballs,3034,47,1.5491100856954514
away_batting_doubles,3034,47,1.5491100856954514
away_batting_intentionalwalks,3034,47,1.5491100856954514
away_batting_secondaryavgminusba,3034,47,1.5491100856954514
away_batting_walksperplateappearance,3034,47,1.5491100856954514
away_batting_walktostrikeoutratio,3034,47,1.5491100856954514
away_batting_isolatedpower,3034,47,1.5491100856954514
away_batting_pitchesperplateappearance,3034,47,1.5491100856954514
away_batting_stolenbasepct,3034,47,1.5491100856954514
away_batting_atbatsperhomerun,3034,47,1.5491100856954514
away_batting_batterrating,3034,47,1.5491100856954514
away_batting_runscreatedper27outs,3034,47,1.5491100856954514
away_batting_groundtoflyratio,3034,47,1.5491100856954514
away_batting_ops,3034,47,1.5491100856954514
away_batting_onbasepct,3034,47,1.5491100856954514
